variable,measure,case_def,group,seasonality,month,value,lower,upper
All clinical,cases,primary,rtss_smc,seasonal,10.1721,2.1646
All clinical,cases,primary,rtss_smc,seasonal,11.1959,0.5344
All clinical,cases,primary,rtss_smc,seasonal,12.2051,0.3397
All clinical,cases,primary,rtss_smc,seasonal,13.09,0.2755
All clinical,cases,primary,rtss_smc,seasonal,14.4135,2.4303
All clinical,cases,primary,rtss_smc,seasonal,15.4445,2.4967
All clinical,cases,primary,rtss_smc,seasonal,16.5046,11.9595
All clinical,cases,primary,rtss_smc,seasonal,18.4788,19.5963
All clinical,cases,primary,rtss_smc,seasonal,19.5382,48.113
All clinical,cases,primary,rtss_smc,seasonal,20.4531,24.9492
All clinical,cases,primary,rtss_smc,seasonal,21.5434,6.4839
All clinical,cases,primary,rtss_smc,seasonal,22.4064,4.6577
All clinical,cases,primary,rtss_smc,seasonal,23.2182,3.0926
All clinical,cases,primary,rtss_smc,seasonal,24.1908,1.4623
All clinical,cases,primary,rtss_smc,seasonal,25.2366,0.4847
All clinical,cases,primary,rtss_smc,seasonal,26.3699,5.1841
All clinical,cases,primary,rtss_smc,seasonal,27.7372,7.6
All clinical,cases,primary,rtss_smc,seasonal,28.6514,8.5798
All clinical,cases,primary,rtss_smc,seasonal,29.6458,13.5401
All clinical,cases,primary,rtss_smc,seasonal,30.677,10.4091
All clinical,cases,primary,rtss_smc,seasonal,31.6772,56.2177
All clinical,cases,primary,rtss_smc,seasonal,32.6874,27.8991
All clinical,cases,primary,rtss_smc,seasonal,33.763,9.8904
All clinical,cases,primary,rtss_smc,seasonal,34.7359,3.1053
All clinical,cases,primary,rtss_smc,seasonal,35.7743,2.4539
All clinical,cases,primary,rtss_smc,seasonal,36.5569,0.954
All clinical,cases,primary,rtss_smc,seasonal,37.7196,0.1722
All clinical,cases,primary,rtss_smc,seasonal,38.9114,6.2421
All clinical,cases,primary,rtss_smc,seasonal,39.8984,9.571
All clinical,cases,primary,rtss_smc,seasonal,40.7758,15.1185
All clinical,cases,primary,rtss_smc,seasonal,41.8727,18.1865
All clinical,cases,primary,rtss_smc,seasonal,42.8307,16.2301
All clinical,cases,primary,rtss_smc,seasonal,43.9256,73.0665
All clinical,cases,primary,rtss_smc,seasonal,44.9439,22.6924
All clinical,cases,primary,rtss_smc,seasonal,45.8805,8.0116
All clinical,cases,primary,rtss_smc,seasonal,46.919,4.4238
All clinical,cases,primary,rtss_smc,seasonal,48.1038,1.7498
All clinical,cases,primary,rtss_smc,seasonal,48.8717,1.0981
All clinical,cases,primary,rtss_smc,seasonal,49.9028,0.1204
All clinical,cases,primary,rtss_smc,seasonal,51.0433,8.9961
All clinical,cases,primary,rtss_smc,seasonal,52.0223,35.0983
All clinical,cases,primary,rtss_smc,seasonal,53.0469,10.9559
All clinical,cases,primary,rtss_smc,seasonal,54.0633,15.2637
All clinical,cases,primary,rtss_smc,seasonal,54.999,21.268
All clinical,cases,primary,rtss_smc,seasonal,55.7887,26.9459
All clinical,cases,primary,rtss_smc,seasonal,56.4977,34.8423
All clinical,cases,primary,rtss_smc,seasonal,57.0971,43.2605
All clinical,cases,primary,rtss_smc,seasonal,58.1512,12.7886
All clinical,cases,primary,rtss_smc,seasonal,59.1608,1.9578
All clinical,cases,primary,rtss_smc,seasonal,59.9506,1.5671
All clinical,efficacy,primary,smc,seasonal,35,0.628,0.584,0.668
All clinical,efficacy,primary,rtss,seasonal,37,0.596,0.547,0.640
All clinical,efficacy,primary,smc,seasonal,58,0.577,0.533,0.617
All clinical,efficacy,primary,rtss,seasonal,60,0.590,0.547,0.628
