ID,0 y,1-3 y,4-6 y,7-9 y,10-14 y,15-25 y,total
32/05,,4.94077834179357,10.049164208456244,2.7094379639448567,0.0,,43
11/28,4.010989010989011,6.993613138686132,4.440389294403893,1.332116788321168,0.6053067993366501,0.0,42
09/09,8.0,6.065493646138807,3.3302919708029197,0.9990875912408759,0.2150854449027696,0.17024253731343283,40
07/14,5.0,6.327554744525547,4.0,0.0,0.0,0.0,36
19/07,,5.9778420038535645,1.705607476635514,3.0,1.4108227498619548,0.2789808917197452,41
22/28,6.033057851239669,6.660583941605839,2.664233576642336,0.33394327538883806,0.20334261838440112,0.3312159709618875,37
22/16,2.033426183844011,2.6788990825688073,0.6797020484171322,4.329379562043796,2.1098265895953756,1.2906647807637908,38
15/15,0.0,7.813455657492355,8.044077134986226,1.6651459854014599,0.0,0.0,36
30/06,2.0054945054945055,6.010978956999085,3.6767399267399266,0.687382297551789,1.5721464465183057,0.0,39
18/29,3.0,7.150186567164179,3.002742230347349,1.124229979466119,0.0,0.0,36
16/42,3.3692307692307693,8.183856502242152,3.457894736842105,0.333029197080292,0.7005758157389635,0.0,36
03/25,9.012345679012345,6.339122486288848,3.6633211678832116,0.0,0.0,,38
01/19,1.0195530726256983,6.005484460694698,5.692660550458716,0.3360957642725598,0.0,,37
13/13,1.0027472527472527,7.373737373737374,2.7315247895229184,1.332116788321168,0.22296884544899206,0.0,36
05/11,,10.13888888888889,4.333333333333333,0.0,0.19989047097480833,0.0,35
16/23,0.0,9.407216494845361,5.932122370936902,0.39374325782092773,0.0,,33
12/24,5.383480825958702,6.203966005665722,3.3302919708029197,0.6666666666666666,0.511921458625526,,37
14/40,,6.396495071193867,4.332344213649852,1.3865147198480532,0.8588235294117647,0.0,36
22/30,1.1928104575163399,5.463049579045837,4.430438842203548,1.332116788321168,0.0,0.0,34
11/29,5.447761194029851,8.333333333333334,1.6666666666666667,0.6666666666666666,0.0,0.0,36
02/13,3.0,7.244274809160306,6.930379746835443,1.0055096418732783,0.9431524547803618,0.6784386617100372,35
22/03,0.0,3.466286799620133,5.069444444444445,4.0060975609756095,,,34
18/25,2.0,7.0,2.997262773722628,0.0,0.0,0.27526395173454,33
22/25,2.0679886685552407,3.8020833333333335,3.3363802559414992,1.6651459854014599,0.6303972366148531,0.24712254570074474,32
17/22,,9.424882629107982,1.7822265625,1.0703812316715542,0.28627450980392155,0.0,31
22/24,16.44144144144144,7.046332046332046,1.3443830570902393,0.0,0.20065970313358988,0.4108047270680923,32
20/14,1.0518731988472623,5.713627992633517,3.6666666666666665,0.0,0.9945504087193461,0.30569514237855944,32
14/47,4.124293785310734,6.87958115183246,2.765151515151515,0.0,0.39978094194961666,0.0,32
22/33,7.719033232628399,5.107276119402985,2.0,0.333029197080292,0.0,0.0,29
08/17,2.0110192837465566,8.364583333333334,1.332116788321168,0.0,0.0,0.0,28
16/06,,4.3784078516902945,1.0195530726256983,0.49525101763907736,0.6043046357615894,0.1347858197932053,19
13/11,1.0,4.99543795620438,1.6666666666666667,1.9981751824817517,0.39978094194961666,0.0,29
11/06,,5.675413022351798,2.3312043795620436,1.0,0.0,0.16215015548645045,27
07/16,4.520123839009288,5.692660550458716,0.9990875912408759,0.0,0.22656734947237742,,25
31/07,3.0248618784530388,4.0,3.393595041322314,0.333029197080292,0.0,0.0,25
13/12,5.069444444444445,4.37125748502994,3.0165289256198347,2.208774583963691,0.2563202247191011,0.25400139178844816,24
17/21,1.0703812316715542,3.4369114877589455,4.674493062966915,1.0148285449490269,0.0,0.0,26
14/48,8.0,3.6633211678832116,1.6681901279707496,0.333029197080292,0.2889944576405384,,26
18/36,3.0,5.328467153284672,2.33974358974359,0.0,0.0,,26
16/32,1.2852112676056338,13.551980198019802,2.821256038647343,0.40065861690450055,0.0,0.0,25
02/19,1.1094224924012157,4.309327036599764,4.294117647058823,1.2703016241299303,0.0,0.0,25
22/29,5.195729537366548,6.419597989949748,0.34401508011310084,0.37745604963805585,0.0,0.0,20
18/37,4.010989010989011,3.6936522539098435,3.036044362292052,0.0,0.0,,24
16/22,0.0,4.2790152403282535,3.3692307692307693,0.0,0.2738184546136534,0.0,20
07/13,,3.8064889918887603,3.6801099908340973,0.666058394160584,0.20821448944666288,0.0,23
22/21,0.0,1.5287958115183247,2.0036596523330283,1.6681901279707496,0.619343891402715,0.17064048620850866,19
20/04,,2.248459958932238,1.3333333333333333,1.6651459854014599,1.3869537682077264,0.0,21
22/31,3.0416666666666665,4.766791044776119,1.6743119266055047,0.0,0.2285535378835316,0.0,21
20/17,5.0,3.5960591133004924,1.6666666666666667,0.0,0.2,0.0,19
20/07,1.0138888888888888,1.6758494031221305,2.3312043795620436,0.333029197080292,0.20065970313358988,0.24472008045591687,17
04/18,0.0,3.7279480037140202,1.6929499072356216,0.34048507462686567,0.0,0.0,17
22/36,5.013736263736264,4.003656307129799,0.0,0.0,0.0,,17
19/28,0.0,4.455399061032864,1.015769944341373,0.0,0.0,,16
20/11,1.0369318181818181,2.3376029277218664,1.028169014084507,0.0,0.0,0.20110192837465565,12
22/20,0.0,3.5714285714285716,0.0,0.4440389294403893,0.2302839116719243,0.0,7
15/30,4.294117647058823,2.048643592142189,0.9990875912408759,0.0,0.0,,11
16/14,6.0,1.2837045720984759,0.4979536152796726,0.0,0.0,0.0,10
