inf_rate,clinical_rate,density,percentage
0.06316667679618332,0.04568039410810626,8.692937708522729e-06,0.02785823943458557
0.06365035935807135,0.046047671688098646,8.952254791690542e-06,0.028753464913754623
0.06413793080411379,0.04641790223781465,9.218605901846884e-06,0.02967532550393931
0.06462696585890307,0.046791109499597035,9.492159308014708e-06,0.03062454143474078
0.06511834043479492,0.047167317406680745,9.77308662260024e-06,0.031601850097000804
0.06561366573984814,0.047546550084727725,1.006156284828785e-05,0.03260800638182959
0.06611297353854881,0.047928831853373995,1.0357766425045967e-05,0.033643783024334184
0.06661629585077453,0.0483141872277893,1.0661879277224608e-05,0.03470997095205665
0.06712366495384782,0.04870264092024927,1.0974086860728488e-05,0.035807379638129494
0.06763511338460598,0.04909421784172012,1.129457821024507e-05,0.036936837459154
0.06815067394148754,0.0494889431034561,1.1623545986509168e-05,0.03809919205780491
0.06867037968663572,0.049886842018609996,1.1961186523584568e-05,0.03929531071016337
0.06919426394801854,0.050287940103856274,1.2307699876142403e-05,0.04052608069777761
0.06972236032156619,0.05069226308102752,1.2663289866714115e-05,0.04179240968444902
0.07025470267332543,0.05109983687876393,1.3028164132898963e-05,0.04309522609773892
0.07079132514163133,0.05151068763417602,1.340253417450407e-05,0.04443547951518933
0.07133226213929669,0.051924841694520836,1.3786615400592263e-05,0.04581414105524855
0.0718775483558186,0.05234232561889149,1.4180627176417596e-05,0.047232203772890315
0.07242721875960327,0.05276316617992043,1.4584792870222488e-05,0.04869068305991256
0.07298130860020846,0.05318739036549633,1.4999339899872264e-05,0.050190617049899786
0.07353985341060382,0.05361502538049464,1.5424499779303486e-05,0.05173306702783013
0.0741028890094498,0.05404609864852242,1.5860508164759482e-05,0.05331911784430607
0.07467045150339442,0.05448063781367676,1.6307604900786424e-05,0.05494987833438471
0.07524161233690783,0.05491867074231774,1.6766034065964955e-05,0.056626481740981206
0.0758136120071529,0.055360225524855346,1.7236044018347973e-05,0.058350086142816004
0.07639021064504581,0.055805330477550846,1.7717887440578177e-05,0.06012187488687382
0.07697144522701249,0.05625401414433281,1.8211821384656775e-05,0.0619430570253395
0.0775573530267751,0.05670630529862739,1.8718107316332835e-05,0.06381486775697279
0.07814797161774249,0.05716223294520372,1.923701115908552e-05,0.06573856887288133
0.07874333887541966,0.05762182632203384,1.9768803337667378e-05,0.06771544920664808
0.07934349297983653,0.05808511490216764,2.0313758821179086e-05,0.06974682508876598
0.07994847241799666,0.05855212839562308,2.087215716564374e-05,0.07183404080533036
0.08055831598634498,0.059022896751291236,2.1444282556047563e-05,0.07397846906093512
0.08117306279325616,0.0594974501588571,2.203042384781681e-05,0.0761815114457168
0.08179275226154231,0.059975819050735485,2.263087460769607e-05,0.07844459890648642
0.0824174241309811,0.060458034104022534,2.3245933153994124e-05,0.08076919222188583
0.08304711846086443,0.06094412624246322,2.3875902596164812e-05,0.08315678248150231
0.08368187563256707,0.061434126638434165,2.452109087368501e-05,0.0856088915688708
0.08432173635213655,0.06192806671494296,2.518181079419881e-05,0.08812707264829069
0.08496674165290334,0.06242597814764301,2.585838007088723e-05,0.09071291065537941
0.08561693289811244,0.06292789286686505,2.6551121359031365e-05,0.09336802279128255
0.08627235178357591,0.06343384305966475,2.726036229172813e-05,0.09609405902045536
0.08693304034034655,0.06394386117188665,2.7986435514724178e-05,0.09889270257192777
0.08759904093741366,0.06445797991024517,2.872967872032835e-05,0.1017656704439606
0.0882659920224082,0.06497623224442174,2.9490434680365308e-05,0.10471471391199715
0.08893722278565439,0.06549865140917929,3.0269051278130645e-05,0.10774161903981021
0.08961385035020138,0.06602527090649356,3.106588153930782e-05,0.11084820719374099
0.0902959181071835,0.0665561245077013,3.188128366180667e-05,0.11403633555992164
0.09098346979660685,0.06709124625566631,3.271562104448633e-05,0.11730789766437028
0.09167654951015387,0.06763067046696225,3.35692623147182e-05,0.12066482389584209
0.09237520169401128,0.06817443173407355,3.444258135474768e-05,0.12410908203131686
0.09307947115172008,0.06872256492761364,3.533595732681611e-05,0.12764267776399849
0.09378940304704876,0.06927510519856116,3.62497746969984e-05,0.1312676552336983
0.09450504290688973,0.06983208798051421,3.718442325771417e-05,0.13498609755946972
0.09522643662417872,0.07039354899196258,3.8140298148872104e-05,0.13880012737435693
0.09595363046083798,0.07095952423857838,3.911779987759859e-05,0.14271190736211678
0.0966866710507429,0.07153005001552501,4.011733433651696e-05,0.14672364079576847
0.09742560540271253,0.07210516290978468,4.1139312820519305e-05,0.1508375720778204
0.09817048090352433,0.07268489980250475,4.218415204200451e-05,0.15505598728202086
0.09892134532095287,0.0732692978713628,4.3252274144521854e-05,0.15938121469647304
