,,2019,2019,2019,2015,2015,2015,2010,2010,2010,2005,2005,2005,2000,2000,2000
Indicator,Age Group,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female
lx - number of people left alive at age x,25-29 years,92616.5169,91996.658,93252.78781,91487.58485,90873.29062,92118.64318,89712.09549,89192.67747,90247.09918,87197.63646,86710.29486,87699.88909,82768.23246,82256.21321,83295.73342
lx - number of people left alive at age x,30-34 years,91691.3251,90958.33223,92442.59945,90343.97732,89676.47943,91028.82078,88029.58589,87718.47722,88353.45856,84741.20698,84808.4722,84682.38338,79702.28428,79969.90887,79443.23847
lx - number of people left alive at age x,35-39 years,90462.71484,89592.83581,91352.50391,88764.89436,88010.31109,89537.91667,85481.28524,85466.54017,85504.91133,80839.23589,81679.31853,80009.75662,75352.48817,76341.45082,74382.20393
lx - number of people left alive at age x,40-44 years,88820.77575,87746.97337,89917.86236,86635.08146,85661.5945,87631.42506,81993.59911,82138.52233,81855.8584,75833.56037,77001.41476,74684.19464,70150.0223,71109.72875,69209.16124
lx - number of people left alive at age x,45-49 years,86592.44443,85183.05909,88033.70231,83876.99275,82501.71255,85285.92052,77880.33037,77842.42853,77925.04211,70302.58253,71133.72664,69477.51505,64743.52575,65006.58731,64469.05497
lx - number of people left alive at age x,50-54 years,83689.1572,81846.27712,85577.05701,80462.90734,78566.66965,82406.1674,73226.67461,72771.49933,73679.89002,64589.50039,64744.13784,64404.30089,59197.83897,58771.67338,59580.09943
lx - number of people left alive at age x,55-59 years,79765.35892,77352.61686,82235.2661,76213.66863,73662.14059,78815.1584,68238.50552,67142.42094,69304.72754,58954.7006,58402.569,59428.56307,53535.27962,52499.48312,54476.95171
lx - number of people left alive at age x,60-64 years,74677.63183,71562.20402,77844.13462,70964.52948,67671.83837,74289.02406,62727.64869,60841.56813,64531.56743,53215.41133,51817.09983,54442.92412,47760.7288,45906.41921,49445.65774
lx - number of people left alive at age x,65-69 years,67594.33499,63629.89806,71571.66755,63873.39667,59747.37477,67980.52285,55823.33521,52960.97348,58484.73203,46556.46324,44092.09697,48718.95829,41183.71842,38295.56125,43815.92601
lx - number of people left alive at age x,70-74 years,58414.17799,53643.82677,63112.91635,54828.74876,49940.98635,59572.58208,47333.99273,43500.84554,50813.7818,38793.99271,35249.34442,41903.18286,33727.28876,29855.63963,37289.63239
